Date,Predicted_Close
2025-07-29,213.3203
2025-07-30,213.52141
2025-07-31,213.6029
2025-08-01,213.5974
2025-08-04,213.53423
2025-08-05,213.4377
2025-08-06,213.31996
2025-08-07,213.18794
2025-08-08,213.04588
2025-08-11,212.89912
2025-08-12,212.75233
2025-08-13,212.60559
2025-08-14,212.45845
2025-08-15,212.3119
2025-08-18,212.1653
2025-08-19,212.01823
2025-08-20,211.86972
2025-08-21,211.72156
2025-08-22,211.57483
2025-08-25,211.42976
2025-08-26,211.28644
2025-08-27,211.14584
2025-08-28,211.00763
2025-08-29,210.87177
2025-09-01,210.73817
2025-09-02,210.60698
2025-09-03,210.47826
2025-09-04,210.35205
2025-09-05,210.2283
2025-09-08,210.10709
