Date,Predicted_Close
2025-07-29,188.37134
2025-07-30,187.86179
2025-07-31,186.81702
2025-08-01,185.4455
2025-08-04,183.8944
2025-08-05,182.26485
2025-08-06,180.61377
2025-08-07,178.96446
2025-08-08,177.34364
2025-08-11,175.75987
2025-08-12,174.22348
2025-08-13,172.73969
2025-08-14,171.30711
2025-08-15,169.92563
2025-08-18,168.59077
2025-08-19,167.28987
2025-08-20,166.03087
2025-08-21,164.81635
2025-08-22,163.63383
2025-08-25,162.48268
2025-08-26,161.3641
2025-08-27,160.28528
2025-08-28,159.23297
2025-08-29,158.2071
2025-09-01,157.20705
2025-09-02,156.23178
2025-09-03,155.28023
2025-09-04,154.35135
2025-09-05,153.44423
2025-09-08,152.55794
