Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,40.42681884765625,59.45050048828125,53.34059524536133,79.32854461669922,21.368667602539062,40.43620824884917,59.5,53.478269771224554,79.66081134729039,21.474000930786133,39.722764160494656,58.5255012512207,52.337114911616034,78.91321472427927,20.733333587646484,39.933982715247524,58.599998474121094,52.337114911616034,79.4946779819948,20.799999237060547,102223600,53890000,31766000,22483800,65283000
2018-01-03,40.41979217529297,60.209999084472656,54.250640869140625,79.69771575927734,21.149999618530273,40.96426303528432,60.27450180053711,54.47827575768503,79.84539296377733,21.683332443237305,40.356429810473,59.415000915527344,53.35153406119346,79.3469929610449,21.036666870117188,40.49019838387923,59.415000915527344,53.376382746449934,79.43005610734863,21.399999618530273,118071600,62176000,31318000,26061400,67822500
2018-01-04,40.6075325012207,60.47949981689453,54.46137619018555,80.399169921875,20.974666595458984,40.71079444172855,60.79349899291992,54.874896544716236,80.90680151992336,21.23666763305664,40.3845825374921,60.233001708984375,54.386826340846945,79.9007699096921,20.3786678314209,40.49253559819918,60.25,54.52748135414892,79.91922603978622,20.857999801635742,89738400,60442000,26052000,21912000,149194500
2018-01-05,41.06986618041992,61.457000732421875,55.18354415893555,81.39596557617188,21.10533332824707,41.156698465850205,61.457000732421875,55.34706465804289,81.59901820448952,21.14933204650879,40.61223124489687,60.5,54.76157534552589,80.69451296242993,20.799999237060547,40.70375823200148,60.8754997253418,54.84358396816797,80.90679717611741,21.107999801635742,94640000,70894000,30250000,23407100,68868000
2018-01-08,40.917335510253906,62.34349822998047,55.378379821777344,81.47903442382812,22.42733383178711,41.21303735236725,62.65399932861328,55.62440571185799,81.75592567121633,22.468000411987305,40.81876464854017,61.60150146484375,55.16913590382694,80.85142036583355,21.03333282470703,40.917335510253906,61.79999923706055,55.21883706967344,81.40519581897301,21.066667556762695,82271200,85590000,24644000,22113000,147891000
2018-01-09,40.91263198852539,62.6349983215332,55.30780029296875,81.42366790771484,22.246000289916992,41.083951017036306,62.96649932861328,55.588617359826586,81.89438026316775,22.586666107177734,40.69672224194802,62.0880012512207,55.079668657769695,81.09140119111723,21.82666778564453,40.9642629693383,62.845001220703125,55.588617359826586,81.82054165022656,22.3439998626709,86336000,73226000,26808000,19484300,107199000
2018-01-10,40.90324020385742,62.71649932861328,55.176090240478516,81.0544662475586,22.31999969482422,40.90558934530854,62.71649932861328,55.30730328085012,81.39596448530118,22.46666717529297,40.60049818035278,61.86149978637695,54.869927743596634,80.67605575210426,22.0,40.638048633487585,62.25749969482422,55.020024722963434,81.09138554690668,22.14666748046875,95839600,53720000,20734000,18652200,64648500
2018-01-11,41.13557052612305,63.83399963378906,55.27102279663086,81.29443359375,22.530000686645508,41.18485593261213,63.8385009765625,55.41018757032564,81.3405774341089,22.987333297729492,40.95017102382274,62.823001861572266,54.99418348782609,80.51914243437955,22.21733283996582,40.97363736609717,62.98699951171875,55.28394578161047,81.3405774341089,22.349332809448242,74670800,62500000,22424000,17808900,99682500
2018-01-12,41.56035232543945,65.26000213623047,56.19547653198242,82.69734191894531,22.4146671295166,41.623718257592046,65.28800201416016,56.227780201148285,82.86347525640218,22.694000244140625,41.22240546196927,63.669498443603516,55.07022510411957,81.63593487639514,22.244667053222656,41.34678818518986,63.669498443603516,55.174101933927034,81.83898751569096,22.575332641601562,101672400,108874000,38586000,24271500,72376500
2018-01-16,41.3491325378418,65.24299621582031,56.197959899902344,81.54364013671875,22.67066764831543,42.10012349135835,66.99700164794922,57.10154118551692,83.79566825727414,23.0,41.33739757680099,64.61499786376953,55.99716447998305,81.2298366335656,22.31999969482422,41.750441705983256,66.1500015258789,56.675594615462074,83.15882262346273,22.502666473388672,118263600,144414000,36462000,36599700,97114500
2018-01-17,42.03207015991211,64.75,56.61545944213867,83.19574737548828,23.143999099731445,42.06727146513678,65.69999694824219,56.62639165014283,83.32496141956172,23.266666412353516,41.08629022879439,64.04399871826172,55.83961015789258,81.91283147958963,22.649999618530273,41.339746788427306,65.61199951171875,56.479275148603776,82.21741045846443,22.697999954223633,137547200,105076000,27830000,25621200,106552500
2018-01-18,42.06961441040039,64.66600036621094,56.45989227294922,83.15882873535156,22.971332550048828,42.26675245042879,65.2300033569336,56.68951415101649,83.68491650231977,23.48666763305664,41.8325839476019,64.20099639892578,55.88782266659566,82.75273046857927,22.916000366210938,42.09542989296319,64.69750213623047,56.627883494848916,82.88194451368464,23.044666290283203,124773600,80538000,27498000,24159700,85287000
2018-01-19,41.88187789916992,64.72899627685547,56.83414840698242,83.06652069091797,23.334667205810547,42.1447238981669,65.6500015258789,56.84806488480374,83.62952767226508,23.37266731262207,41.63545798460618,64.64949798583984,56.287428010306584,82.75271721495989,22.84000015258789,41.91707920938982,65.5999984741211,56.562280343255594,83.1957347153285,23.0,129700400,91570000,30552000,36875000,73324500
2018-01-22,41.53923034667969,66.3655014038086,57.86098861694336,84.552490234375,23.437332153320312,41.72228429562512,66.37249755859375,57.99617941971216,84.56172181957656,23.85533332824707,41.44535781219759,64.83300018310547,56.75064712382242,82.82654996677101,23.280000686645508,41.60963653804508,64.8584976196289,56.85005324113938,83.06652189055745,23.293333053588867,108434400,82802000,29550000,23601600,93156000
2018-01-23,41.548622131347656,68.12699890136719,58.45790100097656,84.82015228271484,23.519332885742188,42.11186816210788,68.24500274658203,58.57420406092715,85.18933824327016,24.03333282470703,41.49699473667759,66.86699676513672,58.01456075914607,84.4878856223787,23.399999618530273,41.609642510426376,66.90450286865234,58.18205521518198,84.82015228271484,24.0,130756400,103386000,39138000,23412800,81981000
2018-01-24,40.886810302734375,67.87550354003906,58.21535873413086,84.7463150024414,23.05933380126953,41.60964034357955,69.40799713134766,58.99866296789218,86.23228341163829,23.649999618530273,40.64743066260191,66.9000015258789,58.02201830247675,84.52480623931218,22.90133285522461,41.597905380444125,68.74099731445312,58.895779633088424,85.42007991907342,23.6386661529541,204420400,136150000,37128000,33277500,79312500
2018-01-25,40.15694046020508,68.89749908447266,58.75463104248047,85.21701049804688,22.50933265686035,41.05812977560475,68.91699981689453,58.89678009260679,86.05690154034251,23.280000686645508,40.020822764492415,67.88099670410156,58.24270183066696,84.84782460446885,22.426666259765625,40.954867828442865,68.4000015258789,58.683558413395254,85.34622450455389,23.218000411987305,166116000,95060000,29984000,26383200,101104500
2018-01-26,40.25080490112305,70.10250091552734,59.024017333984375,86.81373596191406,22.856666564941406,40.3658017884038,70.12650299072266,59.024017333984375,86.81373596191406,22.933332443237305,39.9105125208525,69.04550170898438,58.053341059464074,85.44775720739305,22.380666732788086,40.3658017884038,69.60050201416016,59.02252709527365,85.9461571448434,22.766666412353516,156572000,97146000,42170000,29172200,68091000
2018-01-29,39.417686462402344,70.88400268554688,58.9703369140625,86.68451690673828,23.302000045776367,39.933992645169916,71.56950378417969,59.54290326003664,88.09664645994245,23.389999389648438,39.208816996514216,70.02200317382812,58.85005608029781,86.49992747765833,22.552000045776367,39.933992645169916,70.45899963378906,59.045884046820824,87.81053073237791,22.656667709350586,202561600,114038000,31494000,31569900,71206500
2018-01-30,39.185340881347656,71.89099884033203,58.517547607421875,85.59542846679688,23.05466651916504,39.279213415752686,71.9625015258789,59.042399746029126,86.44455820924645,23.218000411987305,38.6526051170296,69.5999984741211,58.3753985732343,85.00473380174074,22.81133270263672,38.84739402787731,70.15850067138672,58.534945099055044,86.1122915799479,23.00933265686035,184192800,117438000,37338000,38635100,70765500
2018-01-31,39.293296813964844,72.54450225830078,58.758602142333984,87.69056701660156,23.62066650390625,39.53033088935035,73.62899780273438,58.96238182829691,88.05052140924923,23.746000289916992,39.07504154404407,72.50199890136719,58.25561821147145,86.30612487822229,23.012666702270508,39.16187382377497,72.56500244140625,58.837626493942984,86.52763364870465,23.167333602905273,129915600,128494000,36022000,48756300,93211500
2018-02-01,39.37543487548828,69.5,58.727291107177734,86.9983139038086,23.28333282470703,39.5725693452636,72.99400329589844,59.018547427996964,88.66887121548875,23.977333068847656,39.13605525875675,69.25700378417969,58.11943682599137,86.37070008391001,23.242000579833984,39.23227693364981,72.25,58.44896156313821,87.48748215253477,23.399999618530273,188923200,182276000,73514000,47227900,62965500
2018-02-02,37.66693878173828,71.49749755859375,55.62638854980469,84.70938873291016,22.916667938232422,39.145454851989534,74.9000015258789,56.227781333212185,86.7306762748855,23.463333129882812,37.5730662234084,70.69999694824219,55.2272814302096,84.45096069024657,22.700666427612305,38.95770615432121,73.86949920654297,56.03493763886127,86.42609734961654,23.229333877563477,346375200,222514000,117842000,47867800,55572000
2018-02-05,36.725852966308594,69.5,52.80282211303711,81.22058868408203,22.208667755126953,38.4601747854563,72.9489974975586,55.417144172377625,86.05690358406719,22.96466636657715,36.61085603958529,66.03600311279297,52.52200884296614,81.22058868408203,22.200000762939453,37.338380893288154,70.13099670410156,54.70242880178122,83.58336719247745,22.531333923339844,290954000,229900000,83550000,51031500,66961500
2018-02-06,38.260684967041016,72.14199829101562,53.89825439453125,84.29405975341797,22.264667510986328,38.422618146423986,72.19950103759766,54.04487415089542,84.43250536090771,22.4146671295166,36.141480273828954,67.5895004272461,51.19347519585492,78.68245319070411,21.566667556762695,36.33626920112963,68.072998046875,51.3907933989834,80.19610920488354,21.680667877197266,272975200,221336000,76630000,67998600,76326000
2018-02-07,37.4416389465332,70.83899688720703,52.45590591430664,82.70657348632812,23.0,38.34752308385404,73.04949951171875,54.00262949116928,84.70016649372813,23.066667556762695,37.33134030395795,70.75749969482422,52.41664021266109,82.32815592379107,22.37733268737793,38.274771315321885,72.44999694824219,53.92509537223673,83.51877700169304,22.599332809448242,206434400,143254000,51942000,41107600,104538000
2018-02-08,36.41136169433594,67.5250015258789,50.08512496948242,78.46092987060547,21.01533317565918,37.784269825362344,71.6875,52.87936401239792,82.95574619524817,23.2413330078125,36.383200651568615,67.49700164794922,49.93552094259068,78.23018958152493,20.97333335876465,37.61764196663826,71.48400115966797,52.67757509163033,82.79884448866575,22.887332916259766,217562000,171572000,66792000,55628700,154719000
2018-02-09,36.856719970703125,66.9800033569336,52.00162887573242,81.38673400878906,20.69466781616211,37.20546868760478,69.17500305175781,52.27250343791082,82.07895503731416,21.398666381835938,35.40281108119353,63.29650115966797,49.55281423202895,77.3718534516708,19.650667190551758,37.01224435906996,68.67449951171875,50.9882059680197,79.6515691656086,21.32866668701172,282690400,282830000,98360000,63499100,194005500
2018-02-12,38.34127426147461,69.3115005493164,52.413658142089844,82.26355743408203,21.048667907714844,38.61932982623296,69.69049835205078,52.96087525770654,82.86348382815953,21.205333709716797,37.115934171953185,67.20050048828125,51.962862873995164,81.15600643089091,20.416667938232422,37.34922082039222,68.2334976196289,52.51852846673467,81.90360300596303,21.075332641601562,243278000,134778000,56240000,35720300,93417000
2018-02-13,38.72536087036133,70.72550201416016,52.392784118652344,82.90962982177734,21.577333450317383,38.82197484217078,70.98600006103516,52.74467381294293,83.06653158032505,21.612667083740234,38.091484044226874,69.17649841308594,52.03393618570592,81.03601918057196,20.833999633789062,38.1621772820291,69.29650115966797,52.18701743613438,82.07896309764666,21.001333236694336,130196800,118358000,31586000,26407700,68403000
2018-02-14,39.439353942871094,72.55249786376953,53.315250396728516,84.20784759521484,21.487333297729492,39.47941260422183,72.60299682617188,53.452924933885136,84.374761356616,21.744667053222656,38.381324910071264,70.16799926757812,52.17707971268115,81.98234020948674,21.23466682434082,38.41902485300839,70.3125,52.40173033871213,82.07506850477283,21.389333724975586,162579600,119184000,41304000,34960900,59260500
2018-02-15,40.763671875,73.08799743652344,54.24269104003906,85.9233627319336,22.271333694458008,40.7872338950908,73.4469985961914,54.3788753393815,85.9789983005321,22.274667739868164,39.82345990009944,71.84200286865234,53.04338264656778,84.03167557770558,21.49333381652832,40.009615319931726,73.34449768066406,53.849548650240514,84.57877753483424,21.633333206176758,204588800,113054000,37396000,27823900,88693500
2018-02-16,40.63170623779297,72.43450164794922,54.44845962524414,85.31130981445312,22.365999221801758,41.19489348609223,73.29000091552734,55.085140396235516,86.70225508316703,22.874666213989258,40.47618541158448,72.3280029296875,54.2521349006275,85.12585327517667,22.109333038330078,40.615213184598545,72.86849975585938,54.34308875477543,85.7285905651819,22.166667938232422,160704400,89452000,39948000,30596900,84639000
2018-02-20,40.49504470825195,73.4175033569336,54.85054397583008,85.9789810180664,22.31800079345703,41.06293871274817,74.4384994506836,55.48175670870799,86.29425860970629,22.722667694091797,40.393716864685636,72.32450103759766,54.17509428809936,84.39330395929652,22.100000381469727,40.54217234906043,72.32450103759766,54.312272076437715,84.82913469162267,22.29800033569336,135722000,129984000,33754000,30911700,60141000
2018-02-21,40.31123733520508,74.14600372314453,55.35551834106445,84.83839416503906,22.219999313354492,41.029941821835656,75.17449951171875,56.471327909766245,86.57244197145023,22.645999908447266,40.29709580939052,73.94599914550781,55.045378059560356,84.83839416503906,22.211332321166992,40.72596553556844,74.25,55.12440621257393,86.22007168486317,22.402000427246094,149886400,126088000,41486000,26922500,48294000
2018-02-22,40.648197174072266,74.26699829101562,55.164161682128906,85.06094360351562,23.077999114990234,40.98987695293575,75.12699890136719,55.93752346032206,85.98824045831385,23.16266632080078,40.46204179516838,73.78800201416016,54.92807831309107,84.7178412203434,22.316667556762695,40.48324868726996,74.76799774169922,55.62489946576778,85.35767831406251,22.368667602539062,123967600,97162000,28010000,24392800,104547000
2018-02-23,41.35512924194336,75.0,56.06824493408203,87.22151947021484,23.469999313354492,41.39047406800954,75.0,56.11347538567801,87.23079441751032,23.666000366210938,40.89326980623365,74.32499694824219,55.09160390530491,85.64511801615309,23.139999389648438,40.92390438589629,74.76699829101562,55.599555376091224,86.7949638658771,23.18866729736328,135249600,88362000,25292000,26329200,87261000
2018-02-26,42.17280578613281,76.09750366210938,56.844085693359375,88.482666015625,23.827999114990234,42.27177489318232,76.14199829101562,56.86893437749722,88.5104837898897,23.933332443237305,41.52243582740411,75.3499984741211,56.130363836435095,87.39773037101949,23.49066734313965,41.55542552975394,75.45999908447266,56.255612125321555,87.5368263170567,23.566667556762695,152648800,99100000,30912000,30199800,65100000
