Date,Predicted_Close
2025-07-29,319.28125
2025-07-30,317.684
2025-07-31,316.2839
2025-08-01,314.9564
2025-08-04,313.729
2025-08-05,312.65076
2025-08-06,311.63852
2025-08-07,310.70273
2025-08-08,309.79135
2025-08-11,308.92883
2025-08-12,308.1106
2025-08-13,307.3597
2025-08-14,306.6239
2025-08-15,305.9377
2025-08-18,305.2599
2025-08-19,304.617
2025-08-20,303.98877
2025-08-21,303.3789
2025-08-22,302.8644
2025-08-25,302.3327
2025-08-26,301.78796
2025-08-27,301.27484
2025-08-28,300.77756
2025-08-29,300.29422
2025-09-01,299.82376
2025-09-02,299.3654
2025-09-03,298.9181
2025-09-04,298.48135
2025-09-05,298.05493
2025-09-08,297.63837
