Date,Predicted_Close
2025-07-29,228.69337
2025-07-30,227.73045
2025-07-31,226.0381
2025-08-01,223.97874
2025-08-04,221.76848
2025-08-05,219.53322
2025-08-06,217.34317
2025-08-07,215.24721
2025-08-08,213.25722
2025-08-11,211.38034
2025-08-12,209.60823
2025-08-13,207.9307
2025-08-14,206.331
2025-08-15,204.80307
2025-08-18,203.3393
2025-08-19,201.93312
2025-08-20,200.57137
2025-08-21,199.25356
2025-08-22,197.98154
2025-08-25,196.74767
2025-08-26,195.55496
2025-08-27,194.39523
2025-08-28,193.27272
2025-08-29,192.18549
2025-09-01,191.1322
2025-09-02,190.1116
2025-09-03,189.12236
2025-09-04,188.16316
2025-09-05,187.23268
2025-09-08,186.32957
