Date,Predicted_Close
2025-07-29,503.59412
2025-07-30,502.49612
2025-07-31,501.0776
2025-08-01,499.4138
2025-08-04,497.60962
2025-08-05,495.71896
2025-08-06,493.7852
2025-08-07,491.84467
2025-08-08,489.9062
2025-08-11,487.9869
2025-08-12,486.09274
2025-08-13,484.23245
2025-08-14,482.4056
2025-08-15,480.62082
2025-08-18,478.87067
2025-08-19,477.158
2025-08-20,475.4788
2025-08-21,473.8388
2025-08-22,472.24146
2025-08-25,470.683
2025-08-26,469.15866
2025-08-27,467.66098
2025-08-28,466.19897
2025-08-29,464.77103
2025-09-01,463.37604
2025-09-02,462.01263
2025-09-03,460.6801
2025-09-04,459.37735
2025-09-05,458.1036
2025-09-08,456.858
